question_id,role,cot,fewshot,constraint,correct,latency,input_tokens,output_tokens,total_tokens
0,0,0,0,0,0,3.241844415664673,74,7,81
0,0,0,0,1,0,2.5390625,83,9,92
0,0,1,0,1,0,7.869641065597534,90,43,133
0,1,1,1,0,1,21.454702854156494,107,124,231
0,1,1,0,1,0,0.9200551509857178,99,7,106
0,1,0,1,1,0,1.0004591941833496,109,8,117
0,1,0,0,0,0,0.9143660068511963,83,7,90
0,1,0,0,1,0,0.9057352542877197,92,7,99
1,0,0,0,0,1,0.9767208099365234,33,8,41
1,0,0,0,1,1,0.8957850933074951,42,7,49
1,0,1,0,1,1,1.200535774230957,49,9,58
1,1,1,1,0,1,10.718888282775879,66,116,182
1,1,1,0,1,1,1.2186012268066406,58,9,67
1,1,0,1,1,1,3.098541259765625,68,7,75
1,1,0,0,0,1,1.0783405303955078,42,8,50
1,1,0,0,1,1,0.8388233184814453,51,6,57
2,0,0,0,0,0,1.2640182971954346,63,11,74
2,0,0,0,1,0,1.4247093200683594,72,13,85
2,0,1,0,1,0,15.532737016677856,79,167,246
2,1,1,1,0,0,19.73916220664978,96,211,307
2,1,1,0,1,0,1.266883373260498,88,11,99
2,1,0,1,1,0,1.4560661315917969,98,13,111
2,1,0,0,0,0,16.742194175720215,72,178,250
2,1,0,0,1,0,1.3515031337738037,81,12,93
3,0,0,0,0,0,1.1380038261413574,39,10,49
3,0,0,0,1,0,1.1675682067871094,48,10,58
3,0,1,0,1,1,21.41262722015381,55,158,213
3,1,1,1,0,1,16.21202063560486,72,169,241
3,1,1,0,1,0,1.2037277221679688,64,10,74
3,1,0,1,1,0,1.1962835788726807,74,10,84
3,1,0,0,0,0,1.1937055587768555,48,10,58
3,1,0,0,1,0,1.1239044666290283,57,9,66
4,0,0,0,0,1,4.305992603302002,126,10,136
4,0,0,0,1,1,2.1741297245025635,135,8,143
4,0,1,0,1,1,1.0847477912902832,142,8,150
4,1,1,1,0,0,14.003705501556396,159,146,305
4,1,1,0,1,0,1.297882318496704,151,10,161
4,1,0,1,1,1,1.1442255973815918,161,8,169
4,1,0,0,0,1,3.2891042232513428,135,26,161
4,1,0,0,1,0,1.0164594650268555,144,7,151
5,0,0,0,0,0,1.0099356174468994,60,8,68
5,0,0,0,1,0,1.1145737171173096,69,9,78
5,0,1,0,1,0,24.27485227584839,76,256,332
5,1,1,1,0,0,22.9309139251709,93,242,335
5,1,1,0,1,0,1.0396618843078613,85,8,93
5,1,0,1,1,0,1.1448829174041748,95,9,104
5,1,0,0,0,0,13.176048517227173,69,138,207
5,1,0,0,1,0,1.0282022953033447,78,8,86
6,0,0,0,0,0,1.156512975692749,51,9,60
6,0,0,0,1,0,1.1307041645050049,60,9,69
6,0,1,0,1,1,19.596702575683594,67,205,272
6,1,1,1,0,0,13.07964563369751,84,137,221
6,1,1,0,1,0,1.1298484802246094,76,9,85
6,1,0,1,1,0,1.1250097751617432,86,9,95
6,1,0,0,0,0,3.4964611530303955,60,29,89
6,1,0,0,1,0,1.0500528812408447,69,8,77
7,0,0,0,0,0,1.1452414989471436,77,9,86
7,0,0,0,1,0,1.2193424701690674,86,10,96
7,0,1,0,1,0,18.939226627349854,93,200,293
7,1,1,1,0,0,20.455581426620483,110,218,328
7,1,1,0,1,0,16.880367517471313,102,176,278
7,1,0,1,1,0,1.137141227722168,112,9,121
7,1,0,0,0,0,1.1320371627807617,86,9,95
7,1,0,0,1,0,1.1126458644866943,95,9,104
8,0,0,0,0,0,1.1388845443725586,116,9,125
8,0,0,0,1,0,1.127089262008667,125,9,134
8,0,1,0,1,0,24.08882784843445,132,256,388
8,1,1,1,0,0,18.59123706817627,149,196,345
8,1,1,0,1,0,24.249094009399414,141,256,397
8,1,0,1,1,0,1.1902706623077393,151,9,160
8,1,0,0,0,0,24.250331163406372,125,256,381
8,1,0,0,1,0,1.0833525657653809,134,8,142
9,0,0,0,0,0,1.0306718349456787,67,8,75
9,0,0,0,1,0,1.1097054481506348,76,9,85
9,0,1,0,1,1,23.31270933151245,83,247,330
9,1,1,1,0,1,23.70942974090576,100,252,352
9,1,1,0,1,0,23.81530213356018,92,256,348
9,1,0,1,1,0,1.1279466152191162,102,9,111
9,1,0,0,0,0,20.14624547958374,76,212,288
9,1,0,0,1,0,1.0270733833312988,85,8,93
10,0,0,0,0,0,1.066638469696045,68,8,76
10,0,0,0,1,0,1.1167292594909668,77,9,86
10,0,1,0,1,1,13.429430723190308,84,141,225
10,1,1,1,0,1,16.026376008987427,101,172,273
10,1,1,0,1,0,1.1906743049621582,93,8,101
10,1,0,1,1,0,1.268157958984375,103,9,112
10,1,0,0,0,0,1.1993043422698975,77,10,87
10,1,0,0,1,0,1.0364069938659668,86,8,94
11,0,0,0,0,0,1.0502681732177734,74,8,82
11,0,0,0,1,0,1.027648687362671,83,8,91
11,0,1,0,1,0,1.4683961868286133,90,13,103
11,1,1,1,0,0,24.03733515739441,107,256,363
11,1,1,0,1,0,1.0372016429901123,99,8,107
11,1,0,1,1,0,1.236387014389038,109,10,119
11,1,0,0,0,0,16.138886213302612,83,170,253
11,1,0,0,1,0,1.014808177947998,92,8,100
